;entrydate;title;gender;city;age;salary;experience;last_job;updated;link
0;08.04.2020;Резюме Менеджер по продажам мебели, дизайнер-консультант;Женщина;Москва;31;70;8;ООО ИНТЕХ;08.04.2020;https://hh.ru/resume/840fd6300000a252640039ed1f736563726574
1;08.04.2020;Резюме Специалист по работе с клиентами;Мужчина;Липецк;40;90;15;МДК;08.04.2020;https://hh.ru/resume/66498670000716a4250039ed1f795268754743
2;08.04.2020;Резюме Супервайзер торговых представителей, старший торговый представитель;Мужчина;Самара;34;50;7;Ютф-дистрибьютор ;08.04.2020;https://hh.ru/resume/70e7817700035195b70039ed1f306c37646c66
3;08.04.2020;Резюме Директор филиала, коммерческий директор;Мужчина;Краснодар;47;60;null;"Экшн квест ""Прятки: Охота в Темноте""";08.04.2020;https://hh.ru/resume/fc476bef000333eca50039ed1f307843546e4f
4;08.04.2020;Резюме Менеджер по продажам;Мужчина;Москва;43;50;11;Лори Найт (трикотаж,одежда);08.04.2020;https://hh.ru/resume/a292bf540005d411750039ed1f6a4537706847
5;08.04.2020;Резюме Территориальный менеджер по продажам, Манеджер по ключивым клиентам, КАМ;Мужчина;Санкт-Петербург;35;110;17;ООО ?Отель сервис групп?;08.04.2020;https://hh.ru/resume/dd0bdcd9000733ce490039ed1f6f554a484759
6;08.04.2020;Резюме Торговый представитель;Женщина;Владимир;42;40;8;ИП Мочалова;08.04.2020;https://hh.ru/resume/3f41399600073595c90039ed1f473761374c4e
7;08.04.2020;Резюме Руководитель, управляющий, менеджер;Мужчина;Новоульяновск;29;35;11;"Учебный центр ""MMS-Consult""";08.04.2020;https://hh.ru/resume/715e748800014e70a50039ed1f386231456771
8;08.04.2020;Резюме Руководитель отдела продаж;Женщина;Москва;36;100;14;"ООО "" АТД """;08.04.2020;https://hh.ru/resume/e2b2b8770002efd60f0039ed1f547343417753
9;08.04.2020;Резюме Торговый представитель;Мужчина;Краснодар;32;45;10;gastro-bar BAZAR;08.04.2020;https://hh.ru/resume/b23a4c7100077235f20039ed1f555766745562
10;08.04.2020;Резюме Региональный менеджер;Мужчина;Сальск;34;70;6;ООО ?ФЭС-Агро ОП Сальск;08.04.2020;https://hh.ru/resume/48585ca20007a8f8dc0039ed1f577277764257
11;08.04.2020;Резюме Менеджер по продажам;Женщина;Москва;24;60;null;Сбербанк;08.04.2020;https://hh.ru/resume/7118ccd1000246ec7e0039ed1f45563644794e
12;08.04.2020;Резюме Директор;Мужчина;Снежинск;39;45;15;ООО Уралпромкомплект;08.04.2020;https://hh.ru/resume/ef2cc4d90004343a330039ed1f52444b346455
13;08.04.2020;Резюме Супервайзер торговых представителей;Мужчина;Калининград;33;60;9;"Пивоваренная компания ?Балтика?, часть Carlsberg Group""";08.04.2020;https://hh.ru/resume/055cfaaa00019abc330039ed1f746a70444c52
14;08.04.2020;Резюме Менеджер по продажам;Мужчина;Москва;26;60;6;"ООО ""Рус Дефенс""";08.04.2020;https://hh.ru/resume/c0a1c82600032667040039ed1f784a534a3932
15;08.04.2020;Резюме Менеджер по продажам двери, окна, потолки и мебели;Мужчина;Москва;39;70;7;Уютный Дом;08.04.2020;https://hh.ru/resume/017f273e0005d9865f0039ed1f6431496d3579
16;08.04.2020;Резюме Менеджер по работе с клиентами;Мужчина;Москва;33;55;10;АО МС Банк Рус;08.04.2020;https://hh.ru/resume/897ae1440002c1bccf0039ed1f587437695830
17;08.04.2020;Резюме Менеджер по продажам;Мужчина;Краснодар;35;50;12;ООО Экокомплект;08.04.2020;https://hh.ru/resume/990ba19f00075a8aa30039ed1f5876304b6376
18;08.04.2020;Резюме Менеджер;Мужчина;Самара;37;50;7;Капитал Лайф Страхование Жизни;08.04.2020;https://hh.ru/resume/1032ad0c00011f44b90039ed1f694b725a5a59
19;08.04.2020;Резюме Торговый представитель;Мужчина;Челябинск;34;40;10;Алкогольная компания;08.04.2020;https://hh.ru/resume/cefda9ef000655c7a10039ed1f4b376c35555a
20;08.04.2020;Резюме Региональный менеджер;Мужчина;Самара;32;70;11;Style line ( ООО Линия );08.04.2020;https://hh.ru/resume/e197c19e00037510430039ed1f494754376a71
21;08.04.2020;Резюме Менеджер по работе с клиентами;Мужчина;Москва;33;55;10;АО МС Банк Рус;08.04.2020;https://hh.ru/resume/897ae1440002c1bccf0039ed1f587437695830
22;08.04.2020;Резюме Менеджер по продажам;Мужчина;Краснодар;35;50;12;ООО Экокомплект;08.04.2020;https://hh.ru/resume/990ba19f00075a8aa30039ed1f5876304b6376
23;08.04.2020;Резюме Менеджер;Мужчина;Самара;37;50;7;Капитал Лайф Страхование Жизни;08.04.2020;https://hh.ru/resume/1032ad0c00011f44b90039ed1f694b725a5a59
24;08.04.2020;Резюме Торговый представитель;Мужчина;Челябинск;34;40;10;Алкогольная компания;08.04.2020;https://hh.ru/resume/cefda9ef000655c7a10039ed1f4b376c35555a
25;08.04.2020;Резюме Региональный менеджер;Мужчина;Самара;32;70;11;Style line ( ООО Линия );08.04.2020;https://hh.ru/resume/e197c19e00037510430039ed1f494754376a71
26;08.04.2020;Резюме Ведущий специалист отдела продаж;Женщина;Ростов-на-Дону;29;45;7;"OOO ""VIP service""";08.04.2020;https://hh.ru/resume/1ee78c3900039084140039ed1f6e6d6658424c
27;08.04.2020;Резюме Региональный менеджер;Мужчина;Тверь;34;120;8;Связной;08.04.2020;https://hh.ru/resume/8b6a64f40001e46f4d0039ed1f6c6d73303675
28;08.04.2020;Резюме Продавец-консультант;Женщина;Одинцово;52;45;13;ООО,,НАШЕ,, Смоленская чулочно-насочная фабрика,,;08.04.2020;https://hh.ru/resume/6ca00b740002ddabeb0039ed1f6a6a37597762
29;08.04.2020;Резюме Торговый представитель,управляющий, менеджер по продажам, администратор;Мужчина;Казань;26;50;7;МетроФитнес;08.04.2020;https://hh.ru/resume/7654550d00034f88500039ed1f7a56385a4a35
30;08.04.2020;Резюме Региональный менеджер по работе с ключевыми клиентами;Мужчина;Калининград;37;60;15;ООО Эксполес;08.04.2020;https://hh.ru/resume/fb38a4bc0006facc940039ed1f6e5631573550
31;08.04.2020;Резюме Торговый представитель;Женщина;Сочи;32;45;9;МегаФон Ритейл;08.04.2020;https://hh.ru/resume/5a644616000121fca90039ed1f553357774d47
32;08.04.2020;Резюме Руководитель отдела продаж;Мужчина;Ростов-на-Дону;34;70;9;ООО Цифровой Диалог;08.04.2020;https://hh.ru/resume/3baf83e80002f40fcc0039ed1f63676773494d
33;08.04.2020;Резюме Кассир операционист ;Женщина;Москва;42;50;10;ПАО Банк Открытие;08.04.2020;https://hh.ru/resume/2fc0c692000101fa0e0039ed1f774a6c31306d
34;08.04.2020;Резюме Руководитель (менеджер) отдела продаж или поставок ;Женщина;Санкт-Петербург;45;150;20;ООО ?ГК МЕГАТЭКС?;08.04.2020;https://hh.ru/resume/600642ae00077f3bd30039ed1f613745615531
35;08.04.2020;Резюме Менеджер по продажам промышленного оборудования;Мужчина;Ростов-на-Дону;0;50;null;ООО ?ДонАрсенал?;08.04.2020;https://hh.ru/resume/008e5f8000044acdd50039ed1f534c63435747
36;08.04.2020;Резюме Руководитель отдела;Мужчина;Иркутск;29;70;11;"Ассоциация ?Байкальская Виза""";08.04.2020;https://hh.ru/resume/07af4846000297a4570039ed1f41316c535632
37;08.04.2020;Резюме Региональный менеджер-RSM;Мужчина;Казань;44;100;16;ЗАО Лореаль;08.04.2020;https://hh.ru/resume/e84f5e5700015cc94b0039ed1f766e66516465
38;08.04.2020;Резюме Менеджер, региональный менеджер;Мужчина;Пятигорск;0;45;6;ООО АгроСтрой;08.04.2020;https://hh.ru/resume/d7b0ff390005ce86300039ed1f503566646255
39;08.04.2020;Резюме Региональный (территориальный) управляющий;Мужчина;Армавир;37;35;5;"ПМБК ""Лига Ставок""";08.04.2020;https://hh.ru/resume/bce79473000131cde10039ed1f7765694f4c33
40;08.04.2020;Резюме Менеджер по продажам ;Мужчина;Москва;23;40;null;Ооо севен процессинг ;08.04.2020;https://hh.ru/resume/877506e60006c129920039ed1f4f796f414f77
41;08.04.2020;Резюме Ведущий менеджер по продажам, менеджер по расчетам окон пвх и алюминия, помощник директора;Женщина;Краснодар;35;45;13;ИП Евсюкова;08.04.2020;https://hh.ru/resume/48f0207600051a95d90039ed1f716f42443478
42;08.04.2020;Резюме Менеджер отдела продаж;Мужчина;Москва;29;100;7;Феникс - Авто;08.04.2020;https://hh.ru/resume/11d1bfb7000597f54b0039ed1f524235504950
43;08.04.2020;Резюме Управляющий в сфере продаж ;Женщина;Санкт-Петербург;30;80;6;ВЕРНЫЙ, Сеть магазинов;08.04.2020;https://hh.ru/resume/3e13d3ca00067330880039ed1f56575a426c67
44;08.04.2020;Резюме Менеджер по продажам;Мужчина;Москва;33;50;8;"ООО ""Компания Фолдин""";08.04.2020;https://hh.ru/resume/4679fc240001941bfa0039ed1f32765a797971
45;08.04.2020;Резюме специалист по планированию и распределению продукции;Женщина;Казань;0;35;30;ТРИЭР-КАЗАНЬ, ООО;08.04.2020;https://hh.ru/resume/8487725b0000ad56e60039ed1f736563726574
46;08.04.2020;Резюме Ведущий менеджер по продажам, руководитель отдела продаж;Мужчина;Москва;0;100;7;LTD Cybercom;08.04.2020;https://hh.ru/resume/ca590ae600020a5cfc0039ed1f656752656875
47;08.04.2020;Резюме Менеджер по продажам;Мужчина;Москва;29;70;9;Style Mobile;08.04.2020;https://hh.ru/resume/a6945b3d00025f3cb10039ed1f49634d376535
48;08.04.2020;Резюме Продавец-консультант ,товаровед,администратор ,в интернет-магазине;Женщина;Москва;39;50;14;ООО Виномания ( проект компании Лудинг);08.04.2020;https://hh.ru/resume/ecc4796c0005f2e08c0039ed1f3467614d7930
49;08.04.2020;Резюме Менеджер по  клинингу  (стационарный);Женщина;Москва;51;55;27;ООО Сервис Престиж;08.04.2020;https://hh.ru/resume/c22c57d5000518e1200039ed1f4b3643437251
50;08.04.2020;Резюме Торговый представитель;Женщина;Краснодар;23;40;null;Давинес ;08.04.2020;https://hh.ru/resume/2a3536b900075853a60039ed1f343254596f44
51;08.04.2020;Резюме Торговый представитель;Женщина;Москва;36;60;16;"ООО ""Торговый Дом Аваллон""";08.04.2020;https://hh.ru/resume/20782c3800058b6e840039ed1f6e4e564e7761
52;08.04.2020;Резюме Директор по продажам.;Мужчина;Москва;54;150;13;ООО Крашенка;08.04.2020;https://hh.ru/resume/2e517b530000aed8390039ed1f736563726574
53;08.04.2020;Резюме Менеджер по продажам ;Мужчина;Москва;24;70;null;OXE CAPITAL;08.04.2020;https://hh.ru/resume/7cc7e4c20005be41530039ed1f636844373755
54;08.04.2020;Резюме Заместитель генерального директора по продажам;Мужчина;Миасс;39;100;14;АО Энтек;08.04.2020;https://hh.ru/resume/c1ea48e4000360a3dd0039ed1f436f35386744
55;08.04.2020;Резюме Региональный менеджер по развитию;Мужчина;Иркутск;42;40;13;ООО Сибатом;08.04.2020;https://hh.ru/resume/fc7bc34d00042f02e10039ed1f655364734856
56;08.04.2020;Резюме Региональный менеджер, торговый представитель, менеджер по продажам, менеджер по закупкам;Мужчина;Ярославль;34;50;8;Пекар, Торговый дом, Санкт-Петербург;08.04.2020;https://hh.ru/resume/709fab550001a6134a0039ed1f657831347149
57;08.04.2020;Резюме Супервайзер отдела продаж;Женщина;Воронеж;40;60;null;Воронеж-Фрахт, ООО(ЦДК юг);08.04.2020;https://hh.ru/resume/38d594100002f8c54f0039ed1f6b4550633671
58;08.04.2020;Резюме Ведущий менеджер по продажам;Мужчина;Сергиев Посад;29;80;7;Православный Центр Образования имени Преподобного Сергия;08.04.2020;https://hh.ru/resume/fa75785d000714c2a60039ed1f5a376f583050
59;08.04.2020;Резюме Ведущий менеджер по продажам;Мужчина;Москва;29;150;9;Ой-Ли;08.04.2020;https://hh.ru/resume/7b4bd3b70004201fa70039ed1f4d54374c4375
60;08.04.2020;Резюме Торговый представитель, Менеджер по продажам;Мужчина;Екатеринбург;28;70;9;"АО ТК ""Мегаполис""";08.04.2020;https://hh.ru/resume/2cf569d900034edd3e0039ed1f357334644941
61;08.04.2020;Резюме Ведущий менеджер по продажам;Мужчина;Москва;26;100;6;Gettable;08.04.2020;https://hh.ru/resume/7fff82e10005030bb40039ed1f593451376551
62;08.04.2020;Резюме Менеджер по продажам;Мужчина;Москва;39;60;20;ИП Гончаров;08.04.2020;https://hh.ru/resume/cdeffabe00001bdd380039ed1f736563726574
63;08.04.2020;Резюме Sales manager;Женщина;Пятигорск;18;100;null;Linguatrip.com;08.04.2020;https://hh.ru/resume/4ad21e160007e3b22f0039ed1f526666355256
64;08.04.2020;Резюме Торговый представитель;Мужчина;Москва;49;90;17;ООО ?ФУД-КЛИК?;08.04.2020;https://hh.ru/resume/90367451000783b71e0039ed1f495132516733
65;08.04.2020;Резюме Региональный менеджер;Мужчина;Самара;45;100;18;ООО Узловски Молочный Комбинат;08.04.2020;https://hh.ru/resume/a80f078c0003e787270039ed1f6a6955585236
66;08.04.2020;Резюме Менеджер ;Мужчина;Стерлитамак;27;40;5;СДЭК;08.04.2020;https://hh.ru/resume/55ac78e70003fb0a3a0039ed1f576b664c596b
67;08.04.2020;Резюме Менеджер по продажам ;Мужчина;Москва;23;40;null;Сам на себя;08.04.2020;https://hh.ru/resume/174def35000797c83f0039ed1f4a644c455739
68;08.04.2020;Резюме Менеджер по продажам, торговый представитель;Мужчина;Обнинск;32;50;10;Палладио БНМ;08.04.2020;https://hh.ru/resume/f8836fac0003b34e120039ed1f335863303169
69;08.04.2020;Резюме Управляющий магазином одежды, товары для  дома / заместитель управляющего;Женщина;Москва;46;50;8;Империя Сумок - Москва;08.04.2020;https://hh.ru/resume/3512762900079dbd8b0039ed1f355734655a75
70;08.04.2020;Резюме Супервайзер;Мужчина;Ростов-на-Дону;53;60;null;"ЗАО ""Холод"" Пятигорское мороженое";08.04.2020;https://hh.ru/resume/4aa890750000d6575d0039ed1f5651366f4563
71;08.04.2020;Резюме Заместитель руководителя отдела продаж;Мужчина;Москва;34;100;11;"ООО""Онлайн-Процессинг"" (Крупнейший гипермаркет с более 500 000 наименований товаров для дома. Отдел продаж 80 человек)";08.04.2020;https://hh.ru/resume/954880ec00006aa73d0039ed1f736563726574
